,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Codrington,9,AU,1579587584,68,-38.27,141.97,58.77,4.15
2,Punta Arenas,75,CL,1579587584,62,-53.15,-70.92,55.4,9.8
5,Cape Town,0,ZA,1579587123,68,-33.93,18.42,73.0,2.1
8,Vaini,20,TO,1579587586,69,-21.2,-175.2,80.6,3.6
13,Rikitea,100,PF,1579587326,78,-23.12,-134.97,78.33,5.5
17,Busselton,74,AU,1579587589,21,-33.65,115.33,81.0,10.1
20,Port Alfred,100,ZA,1579587590,91,-33.59,26.89,64.0,1.34
24,Avarua,99,CK,1579587591,88,-21.21,-159.78,80.6,5.1
29,Bredasdorp,75,ZA,1579587593,88,-34.53,20.04,66.2,5.1
36,Cajati,84,BR,1579587595,99,-24.74,-48.12,65.14,0.61
37,Tuatapere,100,NZ,1579587595,79,-46.13,167.68,64.0,2.68
39,Cidreira,99,BR,1579587596,83,-30.18,-50.21,76.14,13.52
40,New Norfolk,20,AU,1579587596,59,-42.78,147.06,70.0,9.3
45,Lebu,0,CL,1579587597,93,-37.62,-73.65,52.05,2.06
49,Venado Tuerto,68,AR,1579587599,99,-33.75,-61.97,69.01,4.92
50,Tsumeb,0,NA,1579587599,27,-19.23,17.72,77.16,1.12
51,Geraldton,20,AU,1579587599,54,-28.77,114.6,78.8,12.9
53,Aquiraz,75,BR,1579587600,78,-3.9,-38.39,81.0,2.6
55,Neiafu,20,TO,1579587600,69,-18.65,-173.98,78.8,2.1
56,Luderitz,0,NA,1579587601,93,-26.65,15.16,60.8,0.5
58,Carnarvon,0,AU,1579587601,54,-24.87,113.63,84.2,11.3
61,Howard Springs,40,AU,1579587602,83,-12.5,131.05,84.0,8.2
62,Atuona,70,PF,1579587602,79,-9.8,-139.03,80.85,7.2
67,Taltal,42,CL,1579587604,92,-25.4,-70.48,60.51,1.37
68,Puerto Ayora,49,EC,1579587604,56,-0.74,-90.35,77.0,0.89
69,East London,40,ZA,1579587605,77,-33.02,27.91,69.8,4.6
72,Hobart,20,AU,1579587607,59,-42.88,147.33,70.0,9.3
73,Alofi,38,NU,1579587608,73,-19.06,-169.92,77.0,2.1
76,Hithadhoo,1,MV,1579587609,79,-0.6,73.08,83.52,6.66
79,Alice Springs,75,AU,1579587610,21,-23.7,133.88,95.0,4.6
82,Kavieng,2,PG,1579587611,75,-2.57,150.8,83.66,5.17
84,Rocha,0,UY,1579587612,97,-34.48,-54.33,66.02,1.97
85,Hermanus,22,ZA,1579587612,95,-34.42,19.23,71.01,4.02
87,Lorengau,75,PG,1579587613,79,-2.02,147.27,83.17,6.95
88,Waingapu,68,ID,1579587613,76,-9.66,120.26,84.27,9.41
95,Esperance,99,AU,1579587614,53,-33.87,121.9,75.2,14.9
98,Vao,64,NC,1579587615,69,-22.67,167.48,75.96,6.59
103,Ushuaia,40,AR,1579587618,87,-54.8,-68.3,46.4,2.1
104,Airai,99,TL,1579587619,61,-8.93,125.41,80.92,1.24
113,Manyana,29,BW,1579587622,57,-23.4,21.72,75.85,6.05
116,Poum,4,NC,1579587623,74,-20.23,164.02,78.28,6.09
118,Mtwara,100,TZ,1579587624,85,-10.27,40.18,80.8,4.78
125,Moree,0,AU,1579587626,11,-29.47,149.85,95.0,6.2
126,Bluff,100,NZ,1579587626,80,-46.6,168.33,64.0,2.68
134,Lima,90,PE,1579587544,94,-12.04,-77.03,71.6,5.1
135,Mahebourg,75,MU,1579587628,74,-20.41,57.7,84.2,2.72
136,Saquarema,75,BR,1579587629,83,-22.92,-42.51,73.4,1.0
138,Sechura,5,PE,1579587629,88,-5.56,-80.82,70.79,3.0
144,Lichinga,75,MZ,1579587631,94,-13.31,35.24,68.0,3.6
147,Kabinda,30,CD,1579587632,83,-6.13,24.48,74.82,0.55
149,Cassilandia,100,BR,1579587633,91,-19.11,-51.73,73.49,0.82
150,Arraial do Cabo,28,BR,1579587633,84,-22.97,-42.03,73.76,0.95
153,Sola,75,VU,1579587634,79,-13.88,167.55,84.2,4.91
159,Mataura,100,NZ,1579587637,80,-46.19,168.86,64.0,2.68
161,Port Macquarie,0,AU,1579587546,40,-31.43,152.92,93.99,6.2
167,Chui,28,UY,1579587640,97,-33.7,-53.46,70.47,2.9
174,Antofagasta,75,CL,1579587641,82,-23.65,-70.4,72.0,3.1
175,Matonga,20,TZ,1579587642,70,-2.38,34.08,70.23,1.85
178,Paracuru,75,BR,1579587643,78,-3.41,-39.03,81.0,2.6
179,Ancud,0,CL,1579587643,72,-41.87,-73.82,59.0,4.1
183,Souillac,75,MU,1579587644,74,-20.52,57.52,84.2,2.72
184,Isangel,40,VU,1579587645,65,-19.55,169.27,82.4,3.1
187,Inhambane,40,MZ,1579587645,65,-23.86,35.38,77.0,2.1
189,Aripuana,68,BR,1579587646,96,-9.17,-60.63,74.03,1.01
191,Boende,99,CD,1579587646,69,-0.22,20.87,76.66,0.29
192,Coyhaique,0,CL,1579587647,82,-45.58,-72.07,55.4,0.5
193,Castro,70,BR,1579587647,91,-24.79,-50.01,62.01,2.92
197,Biak,100,ID,1579587648,67,-0.91,122.88,86.27,4.43
202,Lago da Pedra,57,BR,1579587650,98,-4.33,-45.17,73.15,1.42
218,Ranfurly,100,NZ,1579587654,74,-45.13,170.1,66.0,0.89
219,Bengkulu,15,ID,1579587655,55,-3.8,102.27,90.16,2.55
222,Tsiroanomandidy,100,MG,1579587656,96,-18.77,46.03,69.96,1.34
226,Constitucion,0,CL,1579587657,48,-35.33,-72.42,59.7,1.96
231,Santa Ines,51,BR,1579587658,97,-3.67,-45.38,73.35,1.01
237,Vilcun,0,CL,1579587660,100,-38.65,-72.23,51.01,1.0
238,Quatre Cocos,75,MU,1579587660,74,-20.21,57.76,84.2,5.61
240,Ambilobe,56,MG,1579587661,84,-13.2,49.05,82.67,5.29
243,Srandakan,15,ID,1579587662,54,-7.94,110.25,89.46,3.24
245,Porto Walter,100,BR,1579587386,92,-8.27,-72.74,74.44,1.08
258,Necochea,86,AR,1579587666,95,-38.55,-58.74,64.99,1.79
264,Gisborne,25,NZ,1579587668,73,-38.65,178.0,68.0,1.79
267,Gizo,6,SB,1579587669,71,-8.1,156.84,82.17,2.6
268,Kisanga,100,TZ,1579587669,84,-7.44,37.7,78.91,0.76
270,Nyimba,100,ZM,1579587669,93,-14.56,30.81,70.57,0.62
271,Kaitangata,100,NZ,1579587670,92,-46.28,169.85,56.39,3.97
277,Phalaborwa,23,ZA,1579587672,73,-23.94,31.14,69.8,4.1
279,Bukama,100,CD,1579587672,96,-9.2,25.85,72.3,0.28
282,Benguela,75,AO,1579587674,78,-12.58,13.41,80.6,2.52
283,Faanui,29,PF,1579587674,77,-16.48,-151.75,82.13,3.73
284,Yulara,75,AU,1579587674,21,-25.24,130.99,100.4,7.2
286,Moron,20,AR,1579587543,94,-34.65,-58.62,81.0,3.1
288,Delta del Tigre,1,UY,1579587676,83,-34.76,-56.39,73.4,3.67
293,Quelimane,75,MZ,1579587678,94,-17.88,36.89,77.0,2.1
295,Bambous Virieux,75,MU,1579587678,74,-20.34,57.76,84.2,3.72
300,Samarai,96,PG,1579587680,49,-10.62,150.67,89.71,2.22
304,Omboue,71,GA,1579587681,92,-1.57,9.26,76.32,0.06
316,Vila Velha,90,BR,1579587685,94,-20.33,-40.29,71.6,1.5
317,San Juan,14,AR,1579587685,59,-31.54,-68.54,79.25,9.83
319,Pajan,34,EC,1579587686,89,-1.57,-80.42,71.92,1.41
320,Humaita,97,BR,1579587686,95,-7.51,-63.02,74.7,1.06
321,Plettenberg Bay,98,ZA,1579587687,89,-34.05,23.37,66.97,6.89
323,Sukabumi,92,ID,1579587687,72,-6.92,106.93,91.0,1.79
329,Manoel Urbano,93,BR,1579587689,95,-8.84,-69.26,73.22,1.14
330,Pontianak,75,ID,1579587427,55,-0.03,109.33,91.4,2.1
331,Pirapo,60,PY,1579587690,85,-26.85,-55.53,73.44,0.53
332,Saint-Philippe,100,RE,1579587690,78,-21.36,55.77,80.6,1.0
333,Mount Gambier,0,AU,1579587690,38,-37.83,140.77,73.4,5.7
335,Fare,66,PF,1579587691,76,-16.7,-151.02,82.17,5.37
341,Caravelas,100,BR,1579587693,80,-17.71,-39.25,79.39,6.87
343,Hervey Bay,2,AU,1579587693,55,-25.3,152.85,89.01,8.7
345,Luganville,75,VU,1579587693,70,-15.53,167.17,84.2,3.6
348,San Luis,30,AR,1579587678,70,-33.3,-66.34,79.36,6.16
349,Palu,59,ID,1579587695,49,-0.89,119.87,84.87,2.76
354,Mufulira,97,ZM,1579587701,94,-12.55,28.24,67.84,2.72
356,Viedma,0,AR,1579587701,73,-40.81,-63.0,59.27,2.83
358,Kingori,40,TZ,1579587702,88,-3.28,36.98,73.4,0.97
363,Ituporanga,100,BR,1579587703,98,-27.41,-49.6,72.0,3.13
364,Santa Maria,100,BR,1579587703,87,-29.68,-53.81,73.6,0.42
365,Payo,78,ID,1579587704,62,-3.75,103.64,83.01,2.33
368,Henties Bay,0,NA,1579587704,89,-22.12,14.28,64.99,0.89
381,Nova Aurora,6,BR,1579587708,83,-22.87,-52.57,71.33,4.62
386,Flinders,36,AU,1579587709,54,-34.58,150.86,82.0,6.2
388,Puerto Madryn,0,AR,1579587710,49,-42.77,-65.04,67.08,7.88
396,Rio Gallegos,55,AR,1579587713,81,-51.62,-69.22,53.6,3.6
400,Sao Lourenco do Sul,69,BR,1579587714,90,-31.37,-51.98,74.07,5.27
405,Wagga Wagga,40,AU,1579587716,50,-35.12,147.37,78.01,2.6
408,Daru,100,PG,1579587717,80,-9.08,143.21,85.77,1.19
409,Cachoeira do Sul,100,BR,1579587717,92,-30.04,-52.89,72.32,1.73
416,Ibiruba,99,BR,1579587720,89,-28.63,-53.09,69.91,3.22
418,Tshikapa,63,CD,1579587720,84,-6.42,20.8,74.34,0.55
419,Saldanha,75,ZA,1579587674,78,-33.01,17.94,66.2,7.7
420,Goroka,89,PG,1579587721,71,-6.08,145.39,71.91,0.14
427,Maragogi,39,BR,1579587723,76,-9.01,-35.22,80.4,3.84
433,Pisco,90,PE,1579587726,94,-13.7,-76.22,69.8,3.6
434,Port Elizabeth,90,ZA,1579587704,88,-33.92,25.57,68.0,4.6
438,Chancay,75,PE,1579587727,88,-11.57,-77.27,71.6,5.1
439,Touho,84,NC,1579587727,64,-20.78,165.23,76.3,1.61
441,Mar del Plata,90,AR,1579587611,100,-38.0,-57.56,64.99,4.6
442,Gamba,99,GA,1579587728,88,-2.65,10.0,77.83,1.71
448,Richards Bay,22,ZA,1579587722,72,-28.78,32.04,70.74,2.65
452,Beloha,47,MG,1579587730,49,-25.17,45.05,76.75,6.48
454,Itarantim,35,BR,1579587731,97,-15.66,-40.07,65.97,0.92
456,Lithgow,40,AU,1579587732,33,-33.48,150.15,89.6,5.7
459,Pareora,100,NZ,1579587732,83,-44.49,171.21,66.0,3.58
467,Itarema,100,BR,1579587735,85,-2.92,-39.92,76.87,0.87
475,Port-Gentil,20,GA,1579587737,88,-0.72,8.78,78.8,2.1
478,Acari,100,PE,1579587738,96,-15.43,-74.62,67.24,1.45
483,Lucapa,84,AO,1579587739,89,-8.42,20.74,69.78,1.51
489,Burnie,23,AU,1579587741,55,-41.07,145.92,73.0,3.58
490,Coquimbo,90,CL,1579587742,93,-29.95,-71.34,60.8,1.5
508,Mossamedes,83,AO,1579587747,80,-15.2,12.15,76.19,5.4
512,Nhulunbuy,40,AU,1579587749,59,-12.23,136.77,89.6,10.3
513,Te Anau,100,NZ,1579587749,71,-45.42,167.72,64.27,1.99
514,Neuquen,0,AR,1579587749,60,-38.95,-68.06,71.6,1.0
518,Dutlwe,80,BW,1579587750,62,-23.98,23.9,72.55,5.48
521,Acarau,100,BR,1579587751,85,-2.89,-40.12,76.87,0.87
526,Moranbah,47,AU,1579587753,39,-22.0,148.05,93.94,0.72
532,Honiara,75,SB,1579587494,79,-9.43,159.95,87.8,3.6
535,Waipawa,1,NZ,1579587690,72,-41.41,175.52,71.01,2.6
545,Monte Patria,0,CL,1579587758,85,-30.69,-70.95,55.71,0.22
546,Hualmay,100,PE,1579587758,86,-11.1,-77.61,69.01,1.18
550,Wanaka,100,NZ,1579587759,44,-44.7,169.15,68.74,1.85
553,Santa Cruz de la Sierra,75,BO,1579587534,94,-17.8,-63.17,78.8,7.7
563,Kampene,88,CD,1579587763,94,-3.6,26.67,72.41,1.01
