City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sarangani,25,PH,1579993378,79,5.4,125.46,82.0,4.18
Gotsucho,100,JP,1579993379,70,35.0,132.22,50.09,6.97
Bethel,90,US,1579993379,100,41.37,-73.41,51.01,2.6
Jamestown,100,US,1579993380,93,42.1,-79.24,36.0,0.89
Chokurdakh,85,RU,1579993380,82,70.63,147.92,-26.25,1.9
Albany,90,US,1579993356,100,42.6,-73.97,39.99,2.1
Ribeira Grande,100,PT,1579993383,73,38.52,-28.7,54.72,2.32
Dongsheng,0,CN,1579993383,80,39.82,109.98,12.79,1.28
Urumqi,70,CN,1579993385,91,43.8,87.6,6.96,1.88
Adre,0,TD,1579993386,22,13.47,22.2,54.72,8.28
San Ramon,75,US,1579993226,68,37.78,-121.98,68.0,0.67
Yellowknife,100,CA,1579993095,84,62.46,-114.35,10.0,0.7
Leningradskiy,97,RU,1579993121,95,69.38,178.42,-12.41,1.88
Magadan,100,RU,1579993359,80,59.57,150.8,-1.55,7.94
Lagoa,100,PT,1579993166,67,39.05,-27.98,58.33,4.55
Erenhot,0,CN,1579993391,78,43.65,111.98,13.96,3.45
Celestun,0,MX,1579993325,80,20.87,-90.4,73.76,11.09
Sisimiut,100,GL,1579993392,95,66.94,-53.67,4.86,2.99
Alexandria,0,EG,1579992985,72,31.22,29.96,47.59,1.48
Mut,0,TR,1579993393,56,36.64,33.44,34.29,0.25
Zhanaozen,100,KZ,1579993393,76,43.3,52.8,33.44,6.01
Belyy Yar,100,RU,1579993394,96,53.6,91.39,23.41,1.82
Saint George,1,US,1579993394,42,37.1,-113.58,60.8,0.08
Tasiilaq,100,GL,1579993395,73,65.61,-37.64,26.6,6.2
Kodiak,72,US,1579993108,83,57.79,-152.41,19.18,10.55
Butaritari,12,KI,1579993396,72,3.07,172.79,85.03,4.72
Gushikawa,100,JP,1579993396,88,26.35,127.87,71.01,4.47
Jinchang,59,CN,1579993396,49,38.5,102.17,18.75,3.57
Hille,90,DE,1579993296,69,52.33,8.75,34.0,2.6
