,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Teno,0,CL,1579740418,50,-34.87,-71.18,77.0,2.6
3,Pangai,20,TO,1579740419,74,-19.8,-174.35,82.4,2.6
5,Port Alfred,80,ZA,1579740135,97,-33.59,26.89,63.0,3.96
10,Concepcion,90,CL,1579740167,87,-36.83,-73.05,60.8,3.1
14,Lebu,0,CL,1579740134,74,-37.62,-73.65,61.11,2.64
22,Puerto Ayora,75,EC,1579740140,69,-0.74,-90.35,80.6,4.6
23,Mataura,93,NZ,1579740133,72,-46.19,168.86,64.99,5.36
24,Busselton,97,AU,1579740126,44,-33.65,115.33,71.01,4.33
26,Caxito,75,AO,1579740434,83,-8.58,13.66,80.6,1.5
28,Yulara,19,AU,1579740250,26,-25.24,130.99,82.4,7.7
29,Hithadhoo,26,MV,1579740121,80,-0.6,73.08,84.06,7.1
36,Rikitea,51,PF,1579740127,75,-23.12,-134.97,79.27,5.19
38,East London,100,ZA,1579739884,77,-33.02,27.91,70.52,4.51
39,Atuona,17,PF,1579740144,73,-9.8,-139.03,81.14,5.14
40,Castro,100,BR,1579740144,92,-24.79,-50.01,58.77,3.8
41,Kununurra,85,AU,1579740177,66,-15.77,128.73,86.0,1.5
45,Bengkulu,93,ID,1579740137,94,-3.8,102.27,73.26,1.55
46,Codrington,92,AU,1579740154,69,-38.27,141.97,59.36,15.44
47,Avarua,100,CK,1579740127,94,-21.21,-159.78,78.8,2.6
48,Arraial do Cabo,20,BR,1579739900,78,-22.97,-42.03,78.8,1.5
51,Flinders,72,AU,1579740157,11,-34.58,150.86,102.99,7.7
53,Bredasdorp,0,ZA,1579739850,87,-34.53,20.04,63.0,2.1
55,Hermanus,0,ZA,1579740127,86,-34.42,19.23,69.01,4.02
59,Quatre Cocos,75,MU,1579740463,94,-20.21,57.76,79.0,4.6
60,Hobart,75,AU,1579739836,77,-42.88,147.33,61.0,3.1
64,Te Anau,3,NZ,1579740153,73,-45.42,167.72,61.14,3.51
67,Souillac,75,MU,1579740194,94,-20.52,57.52,79.0,4.6
69,Saldanha,1,ZA,1579739954,63,-33.01,17.94,66.2,1.0
72,New Norfolk,75,AU,1579740134,77,-42.78,147.06,61.0,3.1
74,Airai,32,TL,1579740139,65,-8.93,125.41,76.15,0.89
75,Cape Town,0,ZA,1579740362,59,-33.93,18.42,69.01,3.1
77,Sampit,58,ID,1579740473,91,-2.53,112.95,78.8,1.04
86,Emerald,40,AU,1579740479,62,-23.53,148.17,86.0,4.6
92,Mazagao,61,BR,1579740483,83,-0.12,-51.29,80.6,3.1
98,Ushuaia,40,AR,1579740127,71,-54.8,-68.3,50.0,2.6
100,Carutapera,91,BR,1579740206,80,-1.2,-46.02,81.84,8.78
101,Chui,0,UY,1579740302,81,-33.7,-53.46,70.2,4.26
102,Ahipara,81,NZ,1579740184,70,-35.17,173.17,65.73,3.49
103,Bluff,94,NZ,1579740130,72,-46.6,168.33,64.99,5.36
108,Vaini,75,TO,1579740209,83,-21.2,-175.2,80.6,5.1
112,Benguela,100,AO,1579740494,81,-12.58,13.41,78.49,1.59
115,Chicama,90,PE,1579739915,78,-7.84,-79.15,77.0,1.0
121,Punta Arenas,100,CL,1579740128,81,-53.15,-70.92,50.0,5.1
124,Soyo,82,AO,1579740503,88,-6.13,12.37,79.84,1.84
